@relation distances

@attribute rssi1 numeric
@attribute rssi2 numeric
@attribute rssi3 numeric
@attribute target numeric

@data
-76,-63,-58,2.5
-65,-58,-72,2.5
-64,-59,-75,2.5
-64,-64,-60,2.5
-74,-64,-59,2.5
-76,-64,-59,2.5
-75,-65,-75,2.5
-64,-72,-64,2.5
-73,-59,-73,2.5
-63,-59,-76,2.5
-64,-58,-75,2.5
-64,-59,-74,2.5
-75,-59,-73,2.5
-59,-59,-73,2.5
-59,-74,-64,2.5
-59,-75,-64,2.5
-62,-77,-75,2.5
-64,-76,-64,2.5
-58,-76,-73,2.5
-64,-59,-74,2.5
-64,-58,-64,2.5
-74,-59,-75,2.5
-64,-73,-76,2.5
-64,-64,-64,2.5
-58,-73,-72,2.5
-73,-65,-60,2.5
-73,-64,-58,2.5
-73,-65,-58,2.5
-73,-58,-61,2.5
-76,-60,-62,2.5
-62,-75,-64,2.5
-58,-74,-63,2.5
-73,-59,-78,2.5
-64,-78,-62,2.5
-73,-64,-72,2.5
-64,-59,-77,2.5
-65,-64,-73,2.5
-63,-57,-72,2.5
-58,-65,-63,2.5
-77,-64,-64,2.5
-58,-75,-65,2.5
-64,-64,-60,2.5
-73,-63,-58,2.5
-75,-65,-59,2.5
-64,-58,-73,2.5
-64,-76,-73,2.5
-58,-73,-74,2.5
-64,-59,-76,2.5
-59,-72,-63,2.5
-58,-72,-63,2.5
-60,-74,-63,2.5
-76,-63,-59,2.5
-64,-62,-74,2.5
-76,-65,-74,2.5
-64,-59,-77,2.5
-64,-58,-77,2.5
-58,-73,-60,2.5
-72,-59,-63,2.5
-59,-76,-74,2.5
-64,-59,-75,2.5
-63,-62,-63,3.0
-62,-63,-58,3.0
-63,-65,-61,3.0
-65,-59,-62,3.0
-63,-65,-64,3.0
-65,-63,-63,3.0
-64,-64,-63,3.0
-63,-65,-63,3.0
-63,-63,-63,3.0
-64,-63,-64,3.0
-62,-62,-60,3.0
-64,-59,-63,3.0
-62,-64,-63,3.0
-62,-63,-63,3.0
-59,-63,-62,3.0
-63,-63,-58,3.0
-63,-59,-63,3.0
-64,-61,-62,3.0
-64,-59,-63,3.0
-63,-62,-60,3.0
-61,-62,-59,3.0
-64,-60,-62,3.0
-59,-63,-62,3.0
-63,-59,-60,3.0
-63,-60,-63,3.0
-59,-62,-63,3.0
-60,-63,-61,3.0
-63,-59,-62,3.0
-64,-62,-62,3.0
-62,-60,-66,3.0
-59,-64,-64,3.0
-64,-59,-64,3.0
-59,-64,-59,3.0
-64,-64,-60,3.0
-62,-64,-62,3.0
-64,-63,-64,3.0
-58,-64,-58,3.0
-63,-62,-63,3.0
-63,-64,-58,3.0
-64,-63,-59,3.0
-63,-63,-58,3.0
-64,-63,-59,3.0
-63,-59,-59,3.0
-63,-65,-59,3.0
-65,-58,-64,3.0
-59,-65,-64,3.0
-61,-63,-61,3.0
-64,-63,-63,3.0
-59,-63,-59,3.0
-63,-63,-62,3.0
-64,-64,-64,3.0
-65,-63,-59,3.0
-63,-59,-63,3.0
-59,-65,-62,3.0
-63,-62,-61,3.0
-62,-62,-62,3.0
-59,-62,-62,3.0
-62,-62,-59,3.0
-63,-62,-59,3.0
-63,-63,-59,3.0
-63,-62,-59,3.0
-63,-63,-63,3.0
-62,-64,-62,3.0
-65,-59,-61,3.0
-64,-62,-64,3.0
-59,-58,-62,3.0
-58,-62,-59,3.0
-61,-64,-59,3.0
-62,-64,-60,3.0
-62,-64,-61,3.0
-61,-60,-61,3.0
-64,-59,-60,3.0
-58,-59,-59,3.0
-64,-58,-62,3.0
-59,-63,-60,3.0
-65,-62,-60,3.0
-65,-60,-59,3.0
-66,-59,-66,3.0
-66,-61,-63,3.0
-59,-64,-63,3.0
-58,-63,-59,3.0
-63,-63,-65,3.0
-64,-64,-59,3.0
-64,-59,-62,3.0
-63,-59,-62,3.0
-63,-58,-62,3.0
-58,-63,-63,3.0
-63,-58,-62,3.0
-60,-62,-59,3.0
-64,-60,-63,3.0
-59,-62,-62,3.0
-63,-65,-61,3.0
-61,-65,-60,3.0
-59,-62,-61,3.0
-60,-64,-59,3.0
-62,-66,-65,3.5
-59,-65,-60,3.5
-66,-59,-66,3.5
-66,-59,-65,3.5
-66,-59,-66,3.5
-66,-66,-65,3.5
-66,-67,-59,3.5
-65,-67,-59,3.5
-65,-67,-60,3.5
-65,-67,-66,3.5
-67,-59,-59,3.5
-59,-65,-66,3.5
-66,-66,-59,3.5
-66,-66,-59,3.5
-66,-66,-59,3.5
-65,-65,-60,3.5
-60,-65,-65,3.5
-60,-59,-66,3.5
-65,-66,-60,3.5
-65,-65,-66,3.5
-66,-60,-66,3.5
-67,-59,-66,3.5
-66,-59,-66,3.5
-67,-59,-60,3.5
-66,-65,-66,3.5
-60,-65,-65,3.5
-60,-66,-65,3.5
-60,-66,-65,3.5
-66,-65,-60,3.5
-65,-59,-65,3.5
-59,-59,-66,3.5
-66,-59,-66,3.5
-65,-59,-65,3.5
-65,-59,-65,3.5
-65,-60,-65,3.5
-66,-66,-59,3.5
-66,-65,-59,3.5
-66,-65,-65,3.5
-59,-65,-59,3.5
-66,-66,-59,3.5
-67,-66,-59,3.5
-66,-66,-59,3.5
-67,-59,-66,3.5
-66,-66,-59,3.5
-58,-66,-66,3.5
-59,-66,-65,3.5
-59,-58,-66,3.5
-66,-59,-66,3.5
-59,-67,-58,3.5
-66,-59,-66,3.5
-66,-59,-66,3.5
-65,-59,-67,3.5
-59,-66,-66,3.5
-66,-66,-59,3.5
-67,-66,-67,3.5
-59,-67,-66,3.5
-59,-66,-59,3.5
-66,-59,-67,3.5
-66,-59,-59,3.5
-66,-58,-68,3.5
-65,-58,-59,3.5
-64,-65,-59,3.5
-66,-60,-65,3.5
-59,-64,-65,3.5
-61,-65,-64,3.5
-65,-59,-64,3.5
-65,-64,-59,3.5
-59,-65,-65,3.5
-59,-65,-65,3.5
-59,-65,-65,3.5
-59,-64,-64,3.5
-59,-65,-65,3.5
-60,-65,-59,3.5
-66,-65,-65,3.5
-59,-65,-59,3.5
-60,-65,-67,3.5
-59,-66,-65,3.5
-65,-65,-65,3.5
-59,-65,-59,3.5
-59,-65,-64,3.5
-60,-65,-65,3.5
-59,-65,-65,3.5
-66,-59,-66,3.5
-65,-60,-66,3.5
-64,-59,-66,3.5
-59,-64,-65,3.5
-59,-66,-66,3.5
-59,-66,-65,3.5
-58,-58,-65,3.5
-59,-65,-66,3.5
-58,-66,-66,3.5
-59,-65,-59,3.5
-64,-65,-59,3.5
-59,-66,-65,3.5
-65,-65,-64,3.5
-65,-65,-66,3.5
-63,-62,-63,4.0
